velocity_data_x,velocity_data_y,velocity_data_z
-0.6464770000000001,1.637852,-0.003006
-0.64305,1.635191,-0.002996
-0.639649,1.632521,-0.002979
-0.636273,1.629843,-0.002954
-0.6329229999999999,1.627158,-0.002924
-0.6296,1.624469,-0.002888
-0.626305,1.621777,-0.0028469999999999
-0.623037,1.619082,-0.002802
-0.616586,1.613692,-0.002701
-0.6134029999999999,1.611,-0.002647
-0.610251,1.60831,-0.00259
-0.607128,1.605625,-0.002531
-0.604035,1.602945,-0.002472
-0.600973,1.600272,-0.002411
-0.597942,1.597606,-0.002349
-0.594942,1.594949,-0.002287
-0.591974,1.5923,-0.002225
-0.5890380000000001,1.589662,-0.002163
-0.586133,1.587036,-0.002101
-0.5832609999999999,1.584421,-0.0020399999999999
-0.580422,1.581819,-0.001979
-0.577615,1.57923,-0.0019199999999999
-0.574842,1.576656,-0.001861
-0.572102,1.574096,-0.0018039999999999
-0.569395,1.571552,-0.001748
-0.56672,1.569023,-0.001693
-0.564078,1.566511,-0.00164
-0.5614680000000001,1.564014,-0.001589
-0.558891,1.561534,-0.00154
-0.556345,1.559071,-0.001492
-0.5538310000000001,1.556625,-0.001447
-0.551349,1.554198,-0.001403
-0.5489,1.55179,-0.001361
-0.546484,1.549402,-0.001321
-0.5441,1.547033,-0.001282
-0.541751,1.544685,-0.0012439999999999
-0.539435,1.542358,-0.001209
-0.537153,1.540053,-0.001175
-0.534905,1.537769,-0.001142
-0.53269,1.535507,-0.001111
-0.530508,1.533267,-0.001082
-0.528358,1.531049,-0.0010539999999999
-0.5262399999999999,1.528853,-0.0010279999999999
-0.524154,1.526678,-0.001004
-0.522099,1.524525,-0.000981
-0.520075,1.5223950000000002,-0.0009599999999999
-0.5180819999999999,1.5202870000000002,-0.00094
-0.51612,1.518201,-0.000921
-0.5141899999999999,1.516139,-0.000904
-0.5122899999999999,1.514099,-0.0008869999999999
-0.510422,1.512083,-0.000872
-0.508584,1.51009,-0.000857
-0.506777,1.5081209999999998,-0.0008439999999999
-0.505,1.506174,-0.000831
-0.503253,1.504251,-0.00082
-0.501534,1.502351,-0.0008089999999999
-0.499845,1.500474,-0.000799
-0.498184,1.49862,-0.000791
-0.496552,1.496789,-0.000782
-0.4949479999999999,1.494981,-0.000775
-0.493372,1.493196,-0.000768
-0.4918229999999999,1.491434,-0.000762
-0.490303,1.489696,-0.0007559999999999
-0.48881,1.48798,-0.00075
-0.487345,1.486289,-0.000745
-0.485907,1.48462,-0.00074
-0.484496,1.482974,-0.000735
-0.483112,1.481351,-0.000731
-0.481753,1.479751,-0.000727
-0.480421,1.478174,-0.000724
-0.479114,1.476619,-0.00072
-0.477833,1.475088,-0.000717
-0.476578,1.4735790000000002,-0.000714
-0.4753479999999999,1.472093,-0.000711
-0.4741439999999999,1.47063,-0.000708
-0.472964,1.469189,-0.000705
-0.471809,1.46777,-0.0007019999999999
-0.470678,1.466374,-0.000699
-0.468487,1.463646,-0.000694
-0.468487,1.463646,-0.000694
-0.466389,1.461006,-0.0006889999999999
-0.466389,1.461006,-0.0006889999999999
-0.4643819999999999,1.458451,-0.000684
-0.4634109999999999,1.457205,-0.000682
-0.462462,1.4559799999999998,-0.000679
-0.461534,1.454775,-0.000676
-0.460627,1.453591,-0.000674
-0.459741,1.452427,-0.000671
-0.458875,1.451283,-0.000668
-0.458029,1.450159,-0.000666
-0.457204,1.449055,-0.000663
-0.4563979999999999,1.447971,-0.00066
-0.4556119999999999,1.446906,-0.000657
-0.4548439999999999,1.445861,-0.000654
-0.454096,1.444835,-0.00065
-0.453366,1.443828,-0.000647
-0.452655,1.44284,-0.000644
-0.451962,1.44187,-0.000641
-0.451288,1.440919,-0.000637
-0.450631,1.439986,-0.000634
-0.449991,1.439071,-0.00063
-0.4493689999999999,1.438174,-0.0006259999999999
-0.448764,1.437295,-0.000623
-0.448175,1.436433,-0.000619
-0.447603,1.435588,-0.000615
-0.447047,1.43476,-0.000611
-0.446507,1.433949,-0.000607
-0.445982,1.433154,-0.000603
-0.4454729999999999,1.432377,-0.000599
-0.444979,1.431615,-0.000595
-0.444499,1.430869,-0.000591
-0.444034,1.43014,-0.000587
-0.443583,1.429426,-0.000582
-0.443146,1.428728,-0.000578
